time_s,stage,Ip_MA,loop_voltage_V,flux_consumed_Wb,q95,internal_inductance,vertical_stability_margin,line_average_density_1e19_m3,major_radius_m,minor_radius_m,elongation,triangularity,vertical_position_m,I_CS1_kA,I_CS2_kA,I_CS3_kA,I_PF1_kA,I_PF2_kA,I_PF3_kA,I_PF4_kA,I_Div1_kA,I_Div2_kA,I_VS_bias_kA,note
0.08,rampup,0.15,18.0,3.5,4.2,0.95,0.33499999999999996,0.15,1.85,0.35,1.15,0.05,0.0,18.0,16.5,15.0,4.199999999999999,3.8249999999999993,2.075,-1.0,0.0,0.0,0.0,rampup_start_from_breakdown
0.1,rampup,0.2,17.997646375351206,3.859976463753512,4.199859903294715,0.9499719806589428,0.3349915941976829,0.15053937231534867,1.85,0.3500308212751628,1.150084058023171,0.050042029011585616,0.0,17.989200706087395,16.48560094144986,14.989200706087395,4.200294203081098,3.825441304621648,2.0867589499501267,-0.9795013424675272,0.0,0.0,0.0,rampup_current_and_shape_evolution
0.12,rampup,0.25,17.990628687178194,4.219859214378806,4.199442183760607,0.9498884367521213,0.3349665310256364,0.15214759252166357,1.85,0.35012271957266644,1.1503346897436357,0.05016734487181795,0.0,17.978404223568635,16.471205631424848,14.978404223568635,4.201171414102725,3.8267571211540874,2.0986428301732243,-0.9589416079127135,0.0,0.0,0.0,rampup_current_and_shape_evolution
0.14,rampup,0.30000000000000004,17.979011714141027,4.579555618391998,4.1987506972703,0.9497501394540598,0.33492504183621796,0.15480981550934791,1.85,0.35027484660053415,1.1507495816378204,0.050374790818910234,0.0,17.96761333144824,16.45681777526432,14.96761333144824,4.202623535732371,3.8289353035985565,2.110649905526611,-0.938321644627536,0.0,0.0,0.0,rampup_current_and_shape_evolution
0.16,rampup,0.35000000000000003,17.96286023489976,4.938974337882406,4.197789299696415,0.9495578599392828,0.33486735798178485,0.15851119616880496,1.85,0.35048635406678885,1.1513264201821514,0.05066321009107572,0.0,17.95683076986353,16.442441026484705,14.956830769863528,4.204642470637529,3.8319637059562943,2.1227784408676076,-0.9176423009039714,0.0,0.0,0.0,rampup_current_and_shape_evolution
0.18,rampup,0.4,17.942239028114454,5.298025330512548,4.196561846911575,0.9493123693823149,0.33479371081469445,0.16323688939043796,1.85,0.35075639367945355,1.152062891853055,0.051031445926527634,0.0,17.946059240084622,16.428078986779497,14.946059240084624,4.207220121485693,3.835830182228539,2.135026701053534,-0.8969044250339967,0.0,0.0,0.0,rampup_current_and_shape_evolution
0.2,rampup,0.45000000000000007,17.917212872445162,5.656619849518145,4.195072194788403,0.9490144389576805,0.3347043316873041,0.16897205006465013,1.85,0.3510841171465514,1.1529566831269584,0.05147834156347923,0.0,17.935301404514455,16.413735206019275,14.935301404514457,4.210348390944354,3.8405225864165313,2.1473929509417102,-0.8761088653095889,0.0,0.0,0.0,rampup_current_and_shape_evolution
0.22,rampup,0.5,17.887846546551952,6.014670443708116,4.193324199199521,0.9486648398399041,0.3345994519519712,0.17570183308184475,1.85,0.3514686761761054,1.1540054804802875,0.05200274024014375,0.0,17.924559886688755,16.399413182251674,14.924559886688757,4.214019181681006,3.846028772521509,2.1598754553894555,-0.855256470022725,0.0,0.0,0.0,rampup_current_and_shape_evolution
0.24,rampup,0.55,17.854204829094872,6.372090957464584,4.191321716017552,0.9482643432035104,0.3344793029610531,0.18341139333242504,1.85,0.35190922247613854,1.1552069703894687,0.05260348519473442,0.0,17.913837271276062,16.385116361701417,14.913837271276062,4.218224396363141,3.8523365945447106,2.1724724792540897,-0.8343480874653819,0.0,0.0,0.0,rampup_current_and_shape_evolution
0.26,rampup,0.6,17.816352498733988,6.728796530742873,4.189068601115118,0.9478137202230237,0.33434411606690706,0.1920858857067943,1.85,0.3524049077546739,1.156558839330929,0.05327941966546449,0.0,17.903136104077713,16.370848138770285,14.903136104077713,4.222955937658251,3.859433906487377,2.1851822873929336,-0.8133845659295366,0.0,0.0,0.0,rampup_current_and_shape_evolution
